id,viaje_id,orden,distrito,direccion,latitud,longitud,llegada_en
1,2,1,Miraflores,Alameda de Carolina Leal 24 Puerta 1 ,-11.952049,-77.069791,2026-08-28 20:48:00
2,4,1,Magdalena,Acceso Hilario Sotelo 6,-12.105867,-76.970952,2026-07-12 09:54:00
3,5,1,San Juan de Lurigancho,Cuesta de Jerónimo Nogués 63 Piso 2 ,-12.147377,-76.989735,2026-07-10 11:17:00
4,5,2,San Borja,Paseo de Ramona Aragonés 78,-12.099934,-76.968915,2026-08-21 19:23:00
5,9,1,Lince,Cuesta Octavia Tamayo 48 Apt. 88 ,-11.988347,-77.128377,2026-04-06 10:32:00
6,13,1,San Borja,Vial Marita Borrego 90 Apt. 15 ,-11.974066,-76.948652,2026-05-29 19:11:00
7,15,1,Barranco,C. de Teresa Campos 63,-12.173809,-77.119791,2026-05-14 06:44:00
8,15,2,Pueblo Libre,Cuesta Francisca Benito 345,-12.049216,-77.119132,2026-03-10 14:02:00
9,17,1,Miraflores,Pasadizo de Graciana Alemany 84,-12.125211,-77.088933,2026-06-21 03:24:00
10,17,2,San Isidro,Calle Berto Nebot 40,-12.184857,-76.997043,2026-08-31 15:23:00
11,21,1,Barranco,Alameda de Bernardita Calvet 24 Apt. 63 ,-12.173627,-77.129159,2026-06-03 10:47:00
12,23,1,Pueblo Libre,Urbanización de Conrado Estrada 55,-12.164595,-76.948427,2026-04-05 00:54:00
13,25,1,Jesús María,Ronda de Feliciana Armas 414 Apt. 59 ,-12.164172,-77.042986,2026-06-21 04:18:00
14,28,1,Pueblo Libre,Acceso Rubén Viña 88,-11.989027,-77.025742,2026-07-03 07:09:00
15,32,1,Pueblo Libre,Calle Jordana Pacheco 6,-12.183291,-77.123802,2026-07-26 13:41:00
16,32,2,Barranco,Rambla Manuela Pujol 20,-12.122385,-77.044791,2026-03-04 01:05:00
17,33,1,San Isidro,Plaza Poncio Palacios 4 Piso 0 ,-12.183224,-77.059281,2026-04-29 02:31:00
18,36,1,Magdalena,Vial de Serafina Alcántara 54,-12.054279,-77.066673,2026-06-08 03:36:00
19,41,1,San Borja,Rambla Joel Casas 32,-12.076284,-77.094820,2026-04-23 10:40:00
20,42,1,Surco,Alameda de Paulina Pino 3 Puerta 4 ,-12.003999,-77.099939,2026-03-01 07:42:00
21,42,2,Miraflores,Plaza Guiomar Perelló 26,-12.000623,-77.122468,2026-05-10 01:31:00
22,46,1,San Borja,Ronda de María Teresa Roma 643 Puerta 3 ,-12.170580,-77.133335,2026-08-25 11:04:00
23,51,1,Magdalena,Paseo de Roldán Buendía 11 Apt. 15 ,-12.171494,-77.044421,2026-08-22 18:32:00
24,54,1,Callao,Vial de Almudena Soria 37,-12.103817,-77.044524,2026-03-01 12:29:00
25,58,1,San Isidro,Pasaje César Rivera 792,-12.139559,-77.041728,2026-07-16 16:42:00
26,60,1,San Juan de Lurigancho,Vial de Bernardino Molins 57,-11.999265,-77.025607,2026-03-06 04:15:00
27,64,1,San Juan de Lurigancho,Acceso Adalberto Beltran 8 Puerta 8 ,-12.090644,-77.066154,2026-08-26 17:49:00
28,66,1,La Molina,Cuesta de Regina Pozuelo 835 Apt. 28 ,-12.050802,-76.994402,2026-06-04 10:38:00
29,67,1,Barranco,Vial de Ruth Quintana 841,-12.192939,-77.102676,2026-07-04 09:41:00
30,67,2,Lince,Paseo Gertrudis Pérez 314 Apt. 25 ,-12.110675,-76.984986,2026-08-12 09:43:00
31,69,1,Jesús María,Ronda Fanny Saldaña 892,-12.061891,-77.073175,2026-04-19 15:47:00
32,71,1,San Borja,Plaza Curro Giménez 267,-12.008550,-77.027852,2026-08-06 18:14:00
33,71,2,La Molina,Avenida Nuria Mariscal 2 Puerta 1 ,-12.056364,-77.120347,2026-05-09 03:25:00
34,73,1,Barranco,Camino Leocadio Bermudez 18,-11.997950,-76.966063,2026-07-07 22:37:00
35,74,1,Magdalena,Via de Maximiliano Sarabia 91 Apt. 89 ,-12.057294,-77.149418,2026-06-10 01:47:00
36,76,1,Miraflores,Alameda de Victoriano Castro 9 Apt. 26 ,-12.014985,-76.946439,2026-04-12 04:26:00
37,79,1,Barranco,C. de Felipe Sanmiguel 28 Piso 7 ,-11.984266,-77.026042,2026-04-11 10:53:00
38,80,1,San Juan de Lurigancho,Avenida Saturnina Márquez 27,-12.189071,-77.124015,2026-04-14 11:56:00
39,80,2,Jesús María,Paseo de Ceferino Roda 28 Piso 2 ,-11.952176,-77.138629,2026-07-18 15:45:00
40,87,1,San Isidro,Plaza Eusebio Uriarte 85 Apt. 93 ,-12.098148,-77.078841,2026-07-16 01:22:00
41,90,1,Jesús María,Cañada de Andrés Seco 13,-11.964277,-76.948079,2026-05-23 18:53:00
42,90,2,Callao,Acceso Lupe Escrivá 178 Apt. 37 ,-12.042060,-77.115886,2026-06-22 16:09:00
43,93,1,Lince,Cañada de Encarnacion Huerta 61 Piso 6 ,-12.144003,-76.945844,2026-08-12 06:37:00
44,94,1,Lince,Plaza Omar Murillo 2 Piso 9 ,-12.127281,-76.969367,2026-03-08 01:19:00
45,94,2,Lince,Pasadizo de Sancho Montero 377 Puerta 1 ,-12.133576,-76.918713,2026-04-10 16:24:00
46,95,1,Surco,Ronda de Cristóbal Pina 6 Apt. 78 ,-12.075995,-76.996586,2026-04-14 02:45:00
47,98,1,Callao,C. Brígida Barceló 96 Apt. 87 ,-12.121210,-77.077767,2026-04-11 03:12:00
48,98,2,La Molina,Urbanización Elodia Baeza 60,-12.040670,-77.136442,2026-06-28 08:30:00
49,102,1,Barranco,Glorieta Adán Rodríguez 327 Apt. 07 ,-12.157453,-77.098557,2026-05-15 13:06:00
50,102,2,Miraflores,Vial de Custodio Mancebo 39 Piso 7 ,-11.983411,-77.106523,2026-04-03 19:38:00
51,103,1,Pueblo Libre,Camino de María Carmen Aznar 40,-11.967650,-77.093405,2026-03-18 19:54:00
52,105,1,Lince,Plaza Delia Moya 95 Piso 5 ,-12.041050,-77.043797,2026-06-01 03:56:00
53,105,2,Callao,Urbanización de Albert Cabrera 7,-12.102263,-76.978696,2026-04-26 03:57:00
54,106,1,San Borja,Urbanización de Jonatan Casanovas 7,-12.186129,-76.934390,2026-03-21 20:49:00
55,109,1,Jesús María,Callejón de Lorena Vallés 75 Piso 3 ,-12.096702,-76.941402,2026-04-10 06:35:00
56,110,1,Miraflores,Camino de Rolando Peiró 79 Puerta 3 ,-12.044160,-76.985566,2026-07-28 15:48:00
57,111,1,San Borja,Pasaje de Lara Ros 14 Apt. 65 ,-11.973766,-77.119798,2026-04-17 00:50:00
58,113,1,San Borja,Calle Hortensia Alcázar 3 Apt. 98 ,-12.065097,-77.000685,2026-05-25 07:09:00
59,116,1,San Juan de Lurigancho,Avenida Concepción Ferrero 33,-12.142058,-77.024872,2026-03-06 22:27:00
60,117,1,Callao,Pasaje David Cózar 53,-12.103672,-76.903580,2026-05-17 09:04:00
61,119,1,Lince,Cañada Inmaculada Villaverde 73 Apt. 09 ,-12.149252,-76.904980,2026-08-03 11:19:00
62,120,1,La Molina,Rambla Felipa Fajardo 85,-11.961369,-77.097202,2026-07-23 22:59:00
63,121,1,San Juan de Lurigancho,Camino Paca Gallego 39 Apt. 67 ,-12.147920,-77.015090,2026-07-18 03:24:00
64,121,2,San Isidro,Paseo Emma Quintero 886 Puerta 1 ,-12.083568,-77.095825,2026-03-03 04:17:00
65,122,1,Pueblo Libre,Pasaje de Ariel Pombo 22,-11.957537,-76.948165,2026-05-20 17:21:00
66,122,2,Miraflores,Alameda de Manola Pont 548 Piso 3 ,-12.129522,-77.083110,2026-03-18 02:43:00
67,124,1,San Isidro,Plaza Elisa Prieto 82 Apt. 22 ,-12.112792,-77.089193,2026-05-26 23:27:00
68,125,1,San Isidro,Cuesta Mauricio Amigó 3,-12.022069,-76.939507,2026-06-08 01:35:00
69,126,1,San Isidro,Pasaje de Olga Tejera 113 Puerta 6 ,-12.167126,-76.969566,2026-03-15 16:08:00
70,128,1,Pueblo Libre,Glorieta de Marcelo Granados 607,-12.179572,-77.122490,2026-04-11 04:51:00
71,130,1,La Molina,Acceso de Geraldo Mariño 37,-12.111666,-77.117530,2026-04-05 20:01:00
72,131,1,Barranco,Camino Edgardo Suárez 9 Piso 4 ,-12.025240,-77.001932,2026-07-07 23:45:00
73,134,1,La Molina,Pasadizo de Áurea Uría 1,-12.097272,-76.908858,2026-05-03 08:47:00
74,134,2,Pueblo Libre,Acceso Baldomero Prat 84 Piso 0 ,-12.032955,-76.940579,2026-08-01 15:47:00
75,136,1,La Molina,Urbanización Dulce Tejada 91 Piso 3 ,-11.957667,-77.107299,2026-07-13 01:21:00
76,138,1,Miraflores,Rambla Hilario Manuel 32 Piso 9 ,-12.048120,-77.143684,2026-04-22 10:37:00
77,139,1,San Borja,Ronda de Isabela Moraleda 19 Piso 0 ,-12.136678,-77.129051,2026-07-20 01:33:00
78,141,1,Barranco,Cañada Juan Carlos Ramirez 72 Puerta 5 ,-12.031556,-76.933549,2026-05-07 00:28:00
79,141,2,Barranco,Cañada Lupita Sevilla 91 Puerta 8 ,-12.013625,-76.956895,2026-05-08 11:59:00
80,142,1,San Juan de Lurigancho,Via de Aníbal Garcés 29,-12.155596,-76.932596,2026-07-31 11:20:00
81,143,1,San Isidro,Cañada Pelayo Casals 78 Piso 2 ,-12.007496,-77.028569,2026-06-21 17:30:00
82,147,1,Jesús María,Glorieta Almudena Bejarano 64 Puerta 5 ,-12.049090,-77.139646,2026-04-11 23:23:00
83,147,2,Callao,Acceso Ramón Marín 93,-12.130749,-77.025811,2026-06-23 05:47:00
84,148,1,La Molina,Alameda Sofía Vazquez 80 Puerta 8 ,-11.955650,-77.061690,2026-07-19 17:02:00
85,151,1,San Borja,C. de Selena Busquets 4,-12.064653,-77.079396,2026-04-15 00:41:00
86,152,1,Surco,Vial de Nacio Patiño 694,-12.024327,-76.970039,2026-03-31 00:45:00
87,153,1,Surco,Callejón Raúl Avilés 932,-12.179457,-77.097677,2026-05-09 16:12:00
88,154,1,Jesús María,Via de Andrea Aguilera 22 Piso 1 ,-11.960718,-76.971709,2026-04-22 01:01:00
89,156,1,Lince,Alameda Teresita Borrás 48,-12.066574,-76.963865,2026-04-05 06:07:00
90,156,2,San Borja,Ronda Elisa Cortés 10,-12.190294,-76.947101,2026-03-26 17:54:00
91,157,1,Barranco,C. de Félix Anaya 12 Piso 1 ,-12.097481,-76.975400,2026-08-29 15:19:00
92,160,1,Pueblo Libre,Camino Adrián Múgica 79,-12.147764,-76.945780,2026-08-22 07:56:00
93,161,1,San Juan de Lurigancho,Cuesta de Dimas Elías 53 Apt. 89 ,-12.089838,-76.919728,2026-06-28 04:24:00
94,161,2,Callao,C. Claudio Blanch 5 Puerta 3 ,-12.129081,-77.035941,2026-04-20 16:45:00
95,163,1,Magdalena,Vial de Ariadna Jove 10 Apt. 94 ,-12.149121,-77.130631,2026-05-19 20:09:00
96,165,1,Surco,Plaza Macaria Zamora 453 Apt. 94 ,-11.982044,-77.127232,2026-05-30 15:03:00
97,166,1,Magdalena,Alameda Olivia Alfaro 39,-12.150244,-76.943112,2026-08-05 05:00:00
98,169,1,Surco,C. Lucho Egea 49,-12.141685,-76.923843,2026-08-20 09:38:00
99,172,1,Barranco,Glorieta de José Jordá 37 Puerta 9 ,-12.105389,-77.068087,2026-05-31 08:30:00
100,177,1,Barranco,Callejón de Asdrubal Gálvez 63 Apt. 99 ,-12.035302,-77.141400,2026-04-10 05:56:00
101,177,2,Miraflores,Alameda de Nydia Redondo 661 Piso 0 ,-12.191330,-77.085604,2026-03-10 11:13:00
102,179,1,Surco,Ronda Ainara Santana 6,-12.103808,-77.005854,2026-04-21 14:20:00
103,179,2,Pueblo Libre,Plaza de Margarita Abellán 739,-12.036314,-76.990345,2026-06-21 18:34:00
104,181,1,Lince,Camino Che Solís 75,-12.178310,-77.058110,2026-05-05 14:47:00
105,183,1,Jesús María,Glorieta de Geraldo Torre 94 Piso 6 ,-11.982205,-77.146348,2026-07-21 17:13:00
106,183,2,Magdalena,Alameda Amaro Armengol 78,-12.121947,-77.018792,2026-07-23 04:18:00
107,184,1,Surco,Vial de Gerardo Cabo 41,-12.032035,-77.006439,2026-03-11 03:11:00
108,185,1,San Isidro,Plaza Agustina Abascal 66,-12.000812,-77.075348,2026-06-09 19:56:00
109,186,1,Barranco,Callejón de Félix Echeverría 65,-11.973947,-76.962456,2026-08-08 14:43:00
110,186,2,San Juan de Lurigancho,Ronda Ascensión Estevez 67,-11.963068,-77.002252,2026-05-14 05:04:00
111,187,1,Surco,Pasaje de Angelita Almeida 89 Apt. 26 ,-11.966942,-76.971872,2026-04-26 22:51:00
112,188,1,Miraflores,Cuesta de Reina Núñez 31 Piso 7 ,-11.999689,-77.117364,2026-08-16 07:07:00
113,189,1,Jesús María,Glorieta Ángeles Morata 98 Apt. 79 ,-11.977129,-76.964915,2026-04-12 12:50:00
114,190,1,Magdalena,Rambla Manuela Miró 6 Piso 0 ,-12.146570,-77.094080,2026-07-05 14:24:00
115,191,1,Surco,Via de Bruno Muro 84 Puerta 9 ,-12.116697,-76.937720,2026-07-19 18:45:00
116,196,1,Miraflores,Calle de Florencio Segarra 37 Apt. 76 ,-11.985502,-76.901102,2026-03-06 11:56:00
117,200,1,Callao,Pasaje de Pilar Castellanos 94 Apt. 77 ,-12.042553,-76.975646,2026-07-31 08:45:00
118,201,1,Miraflores,Paseo de Adoración Barón 81,-12.168765,-77.034212,2026-07-14 00:48:00
119,207,1,San Juan de Lurigancho,Glorieta Reyna Herranz 152 Piso 7 ,-12.165594,-76.966519,2026-07-06 14:06:00
120,208,1,Jesús María,Plaza de Arturo Amador 2,-12.000640,-77.100852,2026-07-26 21:47:00
121,210,1,San Borja,Acceso Teresa Vilanova 90 Puerta 7 ,-12.008091,-77.102470,2026-06-04 06:35:00
122,211,1,Surco,Camino Margarita Pacheco 29,-12.150431,-77.038223,2026-05-26 03:53:00
123,212,1,Pueblo Libre,Rambla Jesús Barrera 93 Puerta 8 ,-12.156690,-77.099146,2026-08-28 11:23:00
124,213,1,Barranco,Urbanización Gregorio Duarte 8,-11.982134,-77.114280,2026-06-08 09:10:00
125,217,1,San Juan de Lurigancho,Acceso de Gonzalo Peña 36 Apt. 34 ,-12.129877,-77.099358,2026-06-17 20:33:00
126,218,1,Surco,Camino de Agustín Verdejo 84,-12.001246,-77.016726,2026-04-20 17:49:00
127,219,1,San Juan de Lurigancho,Paseo David Checa 2 Puerta 9 ,-12.159403,-77.067920,2026-08-12 18:23:00
128,221,1,Miraflores,Rambla de Pío Ropero 19,-12.171960,-76.968331,2026-07-31 15:26:00
129,228,1,Surco,Pasaje de Raúl Juárez 84,-12.046171,-76.964218,2026-04-28 03:24:00
