id,pasajero_id,conductor_id,vehiculo_id,tarifa_id,estado,metodo_pago,distrito_origen,distrito_destino,direccion_origen,direccion_destino,distancia_km,duracion_min,monto_total,solicitado_en,iniciado_en,finalizado_en
1,2849,115,115,1,finalizado,billetera,Callao,Magdalena,Callejón Jose Ignacio Godoy 91,Calle de Amor Bueno 93,7.18,25,18.15,2026-06-09 03:14:00,2026-06-09 03:18:00,2026-06-09 03:43:00
2,17857,433,433,1,finalizado,tarjeta,Magdalena,Barranco,Paseo Simón Giménez 59,Ronda Noé Lobo 63,7.44,24,18.18,2026-04-04 02:43:00,2026-04-04 02:47:00,2026-04-04 03:11:00
3,9106,226,226,2,finalizado,efectivo,Jesús María,Lince,C. Cleto Palomar 59,Paseo de Edelmiro Pinedo 9,21.54,53,53.69,2026-06-10 06:52:00,2026-06-10 06:53:00,2026-06-10 07:46:00
4,8668,221,221,4,finalizado,efectivo,Lince,Pueblo Libre,Camino de Gregorio Baños 4 Piso 1 ,C. Leopoldo Santana 62,3.69,8,24.26,2026-07-01 13:12:00,2026-07-01 13:14:00,2026-07-01 13:22:00
5,18919,471,471,2,finalizado,efectivo,Pueblo Libre,Lince,Callejón Judith Bellido 428 Apt. 76 ,Alameda Pía Barba 60 Piso 4 ,15.99,59,64.21,2026-07-16 19:41:00,2026-07-16 19:43:00,2026-07-16 20:42:00
6,9109,72,72,1,finalizado,tarjeta,San Isidro,Jesús María,Camino Sarita Miranda 77,Callejón Emilio Huerta 784 Puerta 6 ,27.60,103,60.11,2026-05-22 23:24:00,2026-05-22 23:29:00,2026-05-23 01:12:00
7,2340,374,374,1,finalizado,billetera,Callao,San Juan de Lurigancho,Vial Araceli Uriarte 1 Apt. 22 ,C. Rico Solé 148 Puerta 1 ,19.16,66,49.89,2026-07-08 08:24:00,2026-07-08 08:28:00,2026-07-08 09:34:00
8,7197,176,176,2,finalizado,billetera,Callao,Magdalena,Via de Lázaro Royo 17 Puerta 4 ,Cañada Prudencia Vera 632,13.59,36,36.73,2026-05-29 03:11:00,2026-05-29 03:14:00,2026-05-29 03:50:00
9,2169,333,333,3,finalizado,efectivo,Jesús María,La Molina,Alameda Amaya Aliaga 6,Calle Jose Angel Bermúdez 8 Apt. 82 ,23.22,84,136.62,2026-03-21 08:47:00,2026-03-21 08:51:00,2026-03-21 10:15:00
10,4682,581,581,3,finalizado,tarjeta,Callao,San Borja,Paseo de Fito Landa 496,C. de Hilda Perea 88,18.77,54,68.90,2026-06-23 13:41:00,2026-06-23 13:45:00,2026-06-23 14:39:00
